さかな,fish
とんかつ,pork cutlet
にく,meat
メニュー,menu
やさい,vegetable
かさ,umbrella
かばん,bag
くつ,shoes
さいふ,wallet
ジーンズ,jeans
じてんしゃ,bicycle
しんぶん,newspaper
Tシャツ,T-shirt
とけい,watch, clock
ノート,notebook
ペン,pen
ぼうし,hat, cap
ほん,book
こくばん,blackboard
つくえ,desk
けしゴム,eraser
でんき,light
ドア,door
じしょ,dictionary
えんぴつ,pencil
カーテン,curtain
まど,window
いす,chair
